[15 Dec 2025 07:29:29,955 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[15 Dec 2025 07:29:30,020 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[15 Dec 2025 07:29:30,022 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[15 Dec 2025 07:29:30,148 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[15 Dec 2025 07:29:30,152 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 4604 ms
[15 Dec 2025 07:29:32,871 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[15 Dec 2025 09:06:11,460 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[15 Dec 2025 09:06:11,510 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[15 Dec 2025 09:06:11,511 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[15 Dec 2025 09:06:11,623 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[15 Dec 2025 09:06:11,623 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3580 ms
[15 Dec 2025 09:06:12,923 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[15 Dec 2025 09:09:24,126 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[15 Dec 2025 09:09:24,230 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[15 Dec 2025 09:09:24,231 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[15 Dec 2025 09:09:24,392 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[15 Dec 2025 09:09:24,397 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3257 ms
[15 Dec 2025 09:09:27,005 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[15 Dec 2025 20:20:46,863 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[15 Dec 2025 20:20:46,909 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[15 Dec 2025 20:20:46,909 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[15 Dec 2025 20:20:46,996 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[15 Dec 2025 20:20:46,996 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 4574 ms
[15 Dec 2025 20:20:49,480 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 00:32:22,018 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 00:32:22,079 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 00:32:22,079 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 00:32:22,301 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 00:32:22,307 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3563 ms
[16 Dec 2025 00:32:25,016 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 00:33:22,892 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 00:33:22,939 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 00:33:22,939 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 00:33:23,083 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 00:33:23,091 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 4089 ms
[16 Dec 2025 00:33:25,542 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 01:43:21,945 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 01:43:21,962 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 01:43:21,962 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 01:43:22,062 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 01:43:22,081 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3278 ms
[16 Dec 2025 01:43:24,048 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 01:44:01,602 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 01:44:01,629 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 01:44:01,629 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 01:44:01,697 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 01:44:01,699 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2985 ms
[16 Dec 2025 01:44:03,361 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 03:27:33,611 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 03:27:33,661 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 03:27:33,662 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 03:27:33,801 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 03:27:33,803 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3352 ms
[16 Dec 2025 03:27:35,339 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 03:28:11,627 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 03:28:11,683 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 03:28:11,684 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 03:28:11,854 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 03:28:11,861 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2531 ms
[16 Dec 2025 03:28:13,729 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 03:28:50,745 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 03:28:50,791 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 03:28:50,792 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 03:28:50,912 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 03:28:50,918 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 2931 ms
[16 Dec 2025 03:28:52,921 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 03:29:33,540 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 03:29:33,589 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 03:29:33,589 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
[16 Dec 2025 03:29:33,724 INFO  [/] -DirectJDKLog.java]- Initializing Spring embedded WebApplicationContext
[16 Dec 2025 03:29:33,729 INFO  ServletWebServerApplicationContext -ServletWebServerApplicationContext.java]- Root WebApplicationContext: initialization completed in 3079 ms
[16 Dec 2025 03:29:35,507 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat started on port 8081 (http) with context path '/'
[16 Dec 2025 03:31:47,193 INFO  TomcatWebServer -TomcatWebServer.java]- Tomcat initialized with port 8081 (http)
[16 Dec 2025 03:31:47,246 INFO  StandardService -DirectJDKLog.java]- Starting service [Tomcat]
[16 Dec 2025 03:31:47,247 INFO  StandardEngine -DirectJDKLog.java]- Starting Servlet engine: [Apache Tomcat/10.1.43]
